Nomor,Pertanyaan,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Pilihan E
1,"1. Bagaimana kondisi pertumbuhan ekonomi digital Indonesia menurut laporan e-Conomy SEA 2024?","a. Tumbuh pesat didorong oleh lebih dari 2.500 startup aktif.","b. Terus tumbuh dan diproyeksikan melampaui angka USD 130 miliar.","c. Mengalami pertumbuhan yang positif setiap tahunnya.","d. Menjadi salah satu ekosistem startup terbesar di Asia Tenggara."
2,"2. Mengapa prinsip Keadilan dan Non-Diskriminasi (Fairness) krusial saat merancang AI untuk pasar Indonesia?","a. Agar semua golongan dapat mengakses teknologi AI.","b. Menghindari output yang mendiskriminasi etnis atau status ekonomi.","c. Karena keberagaman Indonesia yang tinggi menuntut sensitivitas terhadap representasi data yang adil untuk semua kelompok demografis.","d. AI tidak boleh membedakan ras, gender, atau agama."
3,"3. Bagaimana integrasi AI mengubah tuntutan bagi ketiga role 3H tersebut?","a. Mereka harus mampu menggunakan AI untuk mempercepat kerja, meningkatkan kualitas keputusan, dan menciptakan solusi adaptif.","b. Mereka tidak bisa lagi hanya menguasai skill konvensional.","c. Membutuhkan penggunaan AI untuk meningkatkan efisiensi dan kualitas produk.","d. Pekerjaan mereka menjadi lebih cepat dengan bantuan AI."
4,"4. Sebagai digital telco company yang mengakselerasikan pembangunan bangsa, bagaimana Telkomsel memanfaatkan kapabilitas teknologi terdepan seperti 5G untuk mendorong terobosan inovasi di segmen Business-to-Business (B2B)?","a. Melahirkan solusi digital tepat guna melalui Telkomsel myBusiness, seperti Digital Advertising (MyAds), Big Data (MSight), dan Internet of Things (IoT) untuk terobosan lintas fungsi industri.","b. Menyediakan pusat bantuan pelanggan (customer-centric) yang berbasis di kota-kota besar.","c. Berfokus pada penjualan paket kuota data tanpa batas untuk karyawan kantoran.","d. Menghadirkan portofolio gaya hidup digital seperti MAXstream, Langit Musik, dan Dunia Games."
5,"5. Bagaimana data Microsoft dan LinkedIn (2024) menggambarkan adopsi AI di tempat kerja Indonesia?","a. 92% knowledge workers Indonesia menggunakan AI, tertinggi di antara semua negara survei, menunjukkan AI adalah alat kerja nyata.","b. Adopsinya sangat tinggi melampaui angka rata-rata global sebesar 75%.","c. Mayoritas pekerja profesional di Indonesia sudah menggunakan AI generatif.","d. AI sudah banyak digunakan dalam pekerjaan sehari-hari."
6,"6. Sebagai bagian dari Top 1000 yang berhasil lolos, kalian kini berada di dalam ekosistem binaan CSR Telkomsel. Apa esensi utama dari visi Telkomsel dalam mengembangkan ekosistem digital nasional yang inklusif?","a. Menyediakan aplikasi hiburan digital yang eksklusif bagi masyarakat urban dan pelaku industri besar.","b. Mengakselerasikan pembangunan bangsa melalui solusi pemanfaatan teknologi tepat guna yang mampu memberikan manfaat nyata bagi seluruh lapisan masyarakat di Indonesia.","c. Membuka lapangan kerja konvensional sebanyak-banyaknya di sektor retail telekomunikasi.","d. Menjadi satu-satunya penyedia jaringan telekomunikasi tunggal di wilayah Asia Tenggara."
7,"7. Dalam kerangka pembelajaran AI untuk tim 3H, apa tujuan utama dari tahap AI Awareness?","a. Memahami bahwa AI bisa menganalisis dan memutuskan, bukan cuma chat.","b. Mengetahui definisi LLM dan machine learning.","c. Mengedukasi mengenai risiko hallucination pada AI.","d. Menggeser paradigma dari AI sekadar chatbot menjadi agen analisis, serta membangun fondasi kesadaran akan risiko bias dan keterbatasan bahasa secara dini."
8,"8. Guna mendorong pertumbuhan ekosistem bisnis digital secara berkelanjutan, Telkomsel menyediakan platform penyokong bagi para inovator lokal. Jika pelaku startup digital atau talenta pengembang berada di fase awal ( early-stage ) dan ingin berkolaborasi da","a. Layanan aplikasi super-app MyTelkomsel.","b. Jaringan kemitraan retail GraPARI Digital Online.","c. Program perluasan pasar infrastruktur telekomunikasi regional.","d. NextDev dan Telkomsel Innovation Center (TINC) yang berfokus pada inkubasi teknologi serta solusi go-to-market."
9,"9. Apa target Kementerian Kominfo terkait pengembangan talenta digital pada tahun 2030?","a. Melahirkan jutaan talenta melalui Digital Talent Scholarship.","b. Memenuhi kebutuhan talenta teknologi di Indonesia.","c. Melahirkan 9 juta talenta digital, termasuk 200.000 talenta AI spesialis.","d. Menghasilkan jutaan ahli digital dan ratusan ribu spesialis kecerdasan buatan."
10,"10. Apa yang dimaksud dengan kontrol manusia (Human Safety & Oversight) atas sistem AI?","a. Kemampuan manusia untuk menghentikan, mengoreksi, atau mengintervensi sistem AI, terutama pada keputusan berdampak tinggi.","b. Keamanan penggunaan aplikasi oleh manusia.","c. AI harus selalu beroperasi dalam pengawasan manusia.","d. Memastikan AI tidak membuat keputusan final tanpa adanya koreksi dari manusia."
11,"11. Apa future skill yang membedakan Hacker masa depan dari programmer konvensional?","a. Tidak sekadar menulis kode, tetapi memahami arsitektur AI.","b. Mampu mengevaluasi kualitas output AI dan menjaga keamanan sistem.","c. Memiliki kemampuan coding dengan bantuan prompt.","d. Mampu berpikir arsitektural, memahami konteks, dan memastikan sistem AI berjalan adil, transparan, dan aman."
